"Your Checkout Progress", "Checkout Progress"
"Card Verification Number", "CVV"
"Items %1-%2 of %3","%3 items"
"Regular Price", "was"
"Shop By","Filter"
"Remove item", "Remove"
"Proceed to Checkout", "Go to Checkout"
"Grand Total", "Estimated Total"
"Review by", "By"
"View Order", "View"
"Update Shopping Cart", "Update Cart"
"Print Order", "Print"
"Move to Wish List","Move"
"Copy to Wish List","Copy"
"Move Selected to Wish List", "Move Selected"
"Copy Selected to Wish List", "Copy Selected"
"%1 items in wish list", "%1 items"
"1 item in wish list", "1 item"
"Continue to Shipping Information", "Select Shipping Method"
"Specifications of tires %1", "Specifications of tires %1"
"Day offer","Day offer"
"Delivery company","Delivery companies"
"Top-5 sellers","Top-5 sellers"
"New products","New products"
"Become seller","Become seller"
"Register","Register"
"Want to contacts seller","Want to contacts seller"
"Want to sell tires?","Want to sell tires?"
"Register to access","Register to access"